id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,mcc_type,fraud,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,card_brand,card_type,expires,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
7533803,2010-01-16 02:09:00,379,2019,1198.09,Online Transaction,47225,ONLINE,ONLINE,00000,4411,No Error,Cruise Lines,1.0,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Mastercard,Debit,02/2020,YES,1,21628,2001-03-01,2008,No
7541336,2010-01-17 21:43:00,1600,5050,73.72,Online Transaction,90865,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,62,66,1957,9,Female,314 Fourth Street,47.67,-122.18,49629,101193,124771,747,3,Mastercard,Debit,05/2021,YES,2,22446,2006-10-01,2012,No
7541376,2010-01-17 21:59:00,1600,5050,181.15,Online Transaction,82383,ONLINE,ONLINE,00000,5045,No Error,"Computers, Computer Peripheral Equipment",1.0,62,66,1957,9,Female,314 Fourth Street,47.67,-122.18,49629,101193,124771,747,3,Mastercard,Debit,05/2021,YES,2,22446,2006-10-01,2012,No
7541474,2010-01-17 22:41:00,727,4295,7.15,Online Transaction,2951,ONLINE,ONLINE,00000,5733,No Error,Music Stores - Musical Instruments,1.0,44,68,1975,5,Male,310 Bayview Boulevard,38.63,-90.24,19874,40522,81572,801,5,Mastercard,Debit,04/2018,YES,1,19086,2009-08-01,2011,No
7541607,2010-01-18 01:20:00,1019,5112,421.56,Online Transaction,60569,ONLINE,ONLINE,00000,5300,No Error,Wholesale Clubs,1.0,81,57,1939,1,Female,482 Grant Street,34.09,-117.96,15775,29928,2028,713,4,Mastercard,Credit,11/2023,YES,1,7300,2008-10-01,2010,No
7541624,2010-01-18 01:54:00,720,4136,38.37,Online Transaction,33526,ONLINE,ONLINE,00000,5814,No Error,Fast Food Restaurants,1.0,36,65,1983,5,Female,980 Federal Drive,42.38,-83.1,9710,19800,40038,682,3,Mastercard,Debit,08/2021,YES,1,974,2004-08-01,2008,No
7544897,2010-01-18 18:15:00,1600,5050,25.35,Online Transaction,60152,ONLINE,ONLINE,00000,3000,No Error,Steelworks,1.0,62,66,1957,9,Female,314 Fourth Street,47.67,-122.18,49629,101193,124771,747,3,Mastercard,Debit,05/2021,YES,2,22446,2006-10-01,2012,No
7545630,2010-01-19 03:07:00,379,2019,7.24,Swipe Transaction,82402,Funafuti,Tuvalu,TUV00,4121,No Error,Taxicabs and Limousines,1.0,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Mastercard,Debit,02/2020,YES,1,21628,2001-03-01,2008,No
7545651,2010-01-19 03:59:00,379,2019,13.31,Online Transaction,89069,ONLINE,ONLINE,00000,5251,No Error,Hardware Stores,1.0,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Mastercard,Debit,02/2020,YES,1,21628,2001-03-01,2008,No
7549344,2010-01-19 23:03:00,727,4295,12.69,Online Transaction,18563,ONLINE,ONLINE,00000,4121,No Error,Taxicabs and Limousines,1.0,44,68,1975,5,Male,310 Bayview Boulevard,38.63,-90.24,19874,40522,81572,801,5,Mastercard,Debit,04/2018,YES,1,19086,2009-08-01,2011,No
7560178,2010-01-22 17:35:00,1557,2471,3.21,Online Transaction,19964,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,50,66,1970,2,Female,2516 Essex Drive,45.45,-122.79,23687,48295,109558,707,3,Visa,Debit,04/2021,NO,1,12370,2004-04-01,2008,No
7560321,2010-01-22 18:36:00,1019,5112,35.48,Swipe Transaction,18517,Funafuti,Tuvalu,TUV00,5310,No Error,Discount Stores,1.0,81,57,1939,1,Female,482 Grant Street,34.09,-117.96,15775,29928,2028,713,4,Mastercard,Credit,11/2023,YES,1,7300,2008-10-01,2010,No
7560537,2010-01-22 19:57:00,1048,2542,352.0,Online Transaction,57133,ONLINE,ONLINE,00000,3730,No Error,Ship Chandlers,1.0,59,63,1960,12,Female,265 Ocean Drive,29.79,-95.82,26422,53878,78143,779,4,Mastercard,Debit,06/2014,YES,2,22527,2007-04-01,2011,No
7560907,2010-01-22 22:42:00,379,2019,8.73,Online Transaction,16798,ONLINE,ONLINE,00000,4121,No Error,Taxicabs and Limousines,1.0,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Mastercard,Debit,02/2020,YES,1,21628,2001-03-01,2008,No
7560917,2010-01-22 22:47:00,379,2019,42.03,Online Transaction,60569,ONLINE,ONLINE,00000,5300,No Error,Wholesale Clubs,1.0,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Mastercard,Debit,02/2020,YES,1,21628,2001-03-01,2008,No
7560926,2010-01-22 22:53:00,720,4136,43.61,Online Transaction,88459,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,36,65,1983,5,Female,980 Federal Drive,42.38,-83.1,9710,19800,40038,682,3,Mastercard,Debit,08/2021,YES,1,974,2004-08-01,2008,No
7560966,2010-01-22 23:31:00,1048,2542,437.0,Online Transaction,59474,ONLINE,ONLINE,00000,3722,No Error,Passenger Railways,1.0,59,63,1960,12,Female,265 Ocean Drive,29.79,-95.82,26422,53878,78143,779,4,Mastercard,Debit,06/2014,YES,2,22527,2007-04-01,2011,No
7561057,2010-01-23 02:04:00,1048,2542,204.69,Online Transaction,94123,ONLINE,ONLINE,00000,5310,No Error,Discount Stores,1.0,59,63,1960,12,Female,265 Ocean Drive,29.79,-95.82,26422,53878,78143,779,4,Mastercard,Debit,06/2014,YES,2,22527,2007-04-01,2011,No
7564371,2010-01-23 21:33:00,1048,2542,437.0,Online Transaction,59474,ONLINE,ONLINE,00000,3722,No Error,Passenger Railways,1.0,59,63,1960,12,Female,265 Ocean Drive,29.79,-95.82,26422,53878,78143,779,4,Mastercard,Debit,06/2014,YES,2,22527,2007-04-01,2011,No
7564382,2010-01-23 21:37:00,1048,2542,243.45,Online Transaction,59474,ONLINE,ONLINE,00000,3722,No Error,Passenger Railways,1.0,59,63,1960,12,Female,265 Ocean Drive,29.79,-95.82,26422,53878,78143,779,4,Mastercard,Debit,06/2014,YES,2,22527,2007-04-01,2011,No
7567939,2010-01-24 17:17:00,1557,2471,3.56,Online Transaction,9932,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,50,66,1970,2,Female,2516 Essex Drive,45.45,-122.79,23687,48295,109558,707,3,Visa,Debit,04/2021,NO,1,12370,2004-04-01,2008,No
7568636,2010-01-24 23:04:00,727,4295,151.22,Online Transaction,76639,ONLINE,ONLINE,00000,5732,No Error,Electronics Stores,1.0,44,68,1975,5,Male,310 Bayview Boulevard,38.63,-90.24,19874,40522,81572,801,5,Mastercard,Debit,04/2018,YES,1,19086,2009-08-01,2011,No
7569075,2010-01-25 06:46:00,1404,4555,30.15,Online Transaction,59199,ONLINE,ONLINE,00000,5814,No Error,Fast Food Restaurants,1.0,52,71,1967,11,Female,68 Sixth Avenue,32.3,-95.47,17886,36472,80469,526,2,Mastercard,Debit,05/2020,YES,2,1993,2004-09-01,2014,No
7571463,2010-01-25 15:02:00,1404,4555,366.06,Online Transaction,95676,ONLINE,ONLINE,00000,3144,No Error,Floor Covering Stores,1.0,52,71,1967,11,Female,68 Sixth Avenue,32.3,-95.47,17886,36472,80469,526,2,Mastercard,Debit,05/2020,YES,2,1993,2004-09-01,2014,No
7572763,2010-01-26 00:20:00,335,5131,87.83,Online Transaction,60569,ONLINE,ONLINE,00000,5300,No Error,Wholesale Clubs,1.0,46,68,1973,7,Female,75 Birch Lane,26.74,-80.12,27696,56467,66565,688,3,Visa,Debit,06/2020,YES,1,23401,2008-10-01,2011,No
7572962,2010-01-26 05:38:00,1731,4616,9.41,Online Transaction,86286,ONLINE,ONLINE,00000,5732,No Error,Electronics Stores,1.0,64,66,1956,1,Female,599 First Drive,34.14,-117.45,23172,47242,62224,704,6,Visa,Debit,03/2022,YES,2,15822,2006-09-01,2009,No
7573132,2010-01-26 06:39:00,1731,4616,68.57,Online Transaction,39261,ONLINE,ONLINE,00000,5815,No Error,"Digital Goods - Media, Books, Apps",1.0,64,66,1956,1,Female,599 First Drive,34.14,-117.45,23172,47242,62224,704,6,Visa,Debit,03/2022,YES,2,15822,2006-09-01,2009,No
7573534,2010-01-26 08:09:00,155,5793,52.95,Online Transaction,86959,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,86,69,1933,11,Female,235 Fourth Street,31.31,-89.3,14383,9678,812,688,6,Mastercard,Debit (Prepaid),11/2023,YES,2,15,2003-12-01,2010,No
7573965,2010-01-26 09:43:00,1731,4616,109.37,Online Transaction,68751,ONLINE,ONLINE,00000,5651,Insufficient Balance,Family Clothing Stores,1.0,64,66,1956,1,Female,599 First Drive,34.14,-117.45,23172,47242,62224,704,6,Visa,Debit,03/2022,YES,2,15822,2006-09-01,2009,No
7574474,2010-01-26 11:26:00,1731,4616,128.62,Swipe Transaction,79073,Port au Prince,Haiti,HTI00,5411,No Error,"Grocery Stores, Supermarkets",1.0,64,66,1956,1,Female,599 First Drive,34.14,-117.45,23172,47242,62224,704,6,Visa,Debit,03/2022,YES,2,15822,2006-09-01,2009,No
7576287,2010-01-26 18:40:00,1557,2471,76.27,Swipe Transaction,64198,Funafuti,Tuvalu,TUV00,5812,No Error,Eating Places and Restaurants,1.0,50,66,1970,2,Female,2516 Essex Drive,45.45,-122.79,23687,48295,109558,707,3,Visa,Debit,04/2021,NO,1,12370,2004-04-01,2008,No
7576435,2010-01-26 19:41:00,1600,5050,0.27,Online Transaction,47399,ONLINE,ONLINE,00000,5815,No Error,"Digital Goods - Media, Books, Apps",1.0,62,66,1957,9,Female,314 Fourth Street,47.67,-122.18,49629,101193,124771,747,3,Mastercard,Debit,05/2021,YES,2,22446,2006-10-01,2012,No
7576839,2010-01-26 23:08:00,1487,2978,332.48,Online Transaction,65881,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,59,69,1961,2,Female,4793 North Street,40.69,-80.01,39464,80464,76261,727,3,Visa,Debit,10/2022,YES,1,31589,2008-05-01,2008,No
7576852,2010-01-26 23:18:00,1048,2542,0.04,Online Transaction,68751,ONLINE,ONLINE,00000,5651,No Error,Family Clothing Stores,1.0,59,63,1960,12,Female,265 Ocean Drive,29.79,-95.82,26422,53878,78143,779,4,Mastercard,Debit,06/2014,YES,2,22527,2007-04-01,2011,No
7576947,2010-01-27 01:35:00,1557,2471,467.52,Online Transaction,34524,ONLINE,ONLINE,00000,5712,No Error,"Furniture, Home Furnishings, and Equipment Stores",1.0,50,66,1970,2,Female,2516 Essex Drive,45.45,-122.79,23687,48295,109558,707,3,Visa,Debit,04/2021,NO,1,12370,2004-04-01,2008,No
7576948,2010-01-27 01:35:00,1557,2471,112.42,Swipe Transaction,94000,Funafuti,Tuvalu,TUV00,5912,No Error,Drug Stores and Pharmacies,1.0,50,66,1970,2,Female,2516 Essex Drive,45.45,-122.79,23687,48295,109558,707,3,Visa,Debit,04/2021,NO,1,12370,2004-04-01,2008,No
7581095,2010-01-28 05:15:00,771,4986,138.0,Online Transaction,74934,ONLINE,ONLINE,00000,3596,Bad Card Number,Miscellaneous Machinery and Parts Manufacturing,1.0,44,69,1975,9,Male,919 Lafayette Drive,42.33,-122.79,18961,38661,88636,765,3,Mastercard,Debit,01/2023,YES,2,17536,2003-10-01,2010,No
7581113,2010-01-28 05:39:00,1731,4616,124.67,Online Transaction,76639,ONLINE,ONLINE,00000,5732,No Error,Electronics Stores,1.0,64,66,1956,1,Female,599 First Drive,34.14,-117.45,23172,47242,62224,704,6,Visa,Debit,03/2022,YES,2,15822,2006-09-01,2009,No
7581243,2010-01-28 06:30:00,1896,4529,84.8,Online Transaction,86959,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,50,79,1969,9,Female,6695 River Lane,41.91,-83.38,19736,40246,74352,641,5,Discover,Credit,11/2012,NO,1,14400,2003-09-01,2011,No
7581318,2010-01-28 06:50:00,1052,3651,48.67,Online Transaction,81536,ONLINE,ONLINE,00000,5310,No Error,Discount Stores,1.0,61,61,1958,12,Male,363 Third Drive,37.99,-122.27,25849,28210,22961,655,2,Mastercard,Debit,09/2024,YES,2,12346,1998-07-01,2006,No
7581541,2010-01-28 07:43:00,1052,3651,345.87,Online Transaction,47225,ONLINE,ONLINE,00000,4411,No Error,Cruise Lines,1.0,61,61,1958,12,Male,363 Third Drive,37.99,-122.27,25849,28210,22961,655,2,Mastercard,Debit,09/2024,YES,2,12346,1998-07-01,2006,No
7581573,2010-01-28 07:50:00,155,5793,99.14,Online Transaction,60569,ONLINE,ONLINE,00000,5300,No Error,Wholesale Clubs,1.0,86,69,1933,11,Female,235 Fourth Street,31.31,-89.3,14383,9678,812,688,6,Mastercard,Debit (Prepaid),11/2023,YES,2,15,2003-12-01,2010,No
7581617,2010-01-28 07:59:00,1052,3651,78.55,Online Transaction,20561,ONLINE,ONLINE,00000,5912,No Error,Drug Stores and Pharmacies,1.0,61,61,1958,12,Male,363 Third Drive,37.99,-122.27,25849,28210,22961,655,2,Mastercard,Debit,09/2024,YES,2,12346,1998-07-01,2006,No
7581836,2010-01-28 08:47:00,155,5793,201.57,Online Transaction,54773,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,86,69,1933,11,Female,235 Fourth Street,31.31,-89.3,14383,9678,812,688,6,Mastercard,Debit (Prepaid),11/2023,YES,2,15,2003-12-01,2010,No
7581947,2010-01-28 09:11:00,771,4986,117.03,Online Transaction,9932,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,44,69,1975,9,Male,919 Lafayette Drive,42.33,-122.79,18961,38661,88636,765,3,Mastercard,Debit,01/2023,YES,2,17536,2003-10-01,2010,No
7582037,2010-01-28 09:31:00,1896,4529,131.05,Online Transaction,60569,ONLINE,ONLINE,00000,5300,No Error,Wholesale Clubs,1.0,50,79,1969,9,Female,6695 River Lane,41.91,-83.38,19736,40246,74352,641,5,Discover,Credit,11/2012,NO,1,14400,2003-09-01,2011,No
7582129,2010-01-28 09:56:00,155,5793,2.78,Online Transaction,60569,ONLINE,ONLINE,00000,5300,No Error,Wholesale Clubs,1.0,86,69,1933,11,Female,235 Fourth Street,31.31,-89.3,14383,9678,812,688,6,Mastercard,Debit (Prepaid),11/2023,YES,2,15,2003-12-01,2010,No
7582407,2010-01-28 10:56:00,1731,4616,626.69,Online Transaction,55555,ONLINE,ONLINE,00000,5712,No Error,"Furniture, Home Furnishings, and Equipment Stores",1.0,64,66,1956,1,Female,599 First Drive,34.14,-117.45,23172,47242,62224,704,6,Visa,Debit,03/2022,YES,2,15822,2006-09-01,2009,No
7582472,2010-01-28 11:12:00,1896,4529,0.7,Online Transaction,70268,ONLINE,ONLINE,00000,4722,No Error,Travel Agencies,1.0,50,79,1969,9,Female,6695 River Lane,41.91,-83.38,19736,40246,74352,641,5,Discover,Credit,11/2012,NO,1,14400,2003-09-01,2011,No
7582718,2010-01-28 12:03:00,1052,3651,1.05,Online Transaction,13523,ONLINE,ONLINE,00000,5310,No Error,Discount Stores,1.0,61,61,1958,12,Male,363 Third Drive,37.99,-122.27,25849,28210,22961,655,2,Mastercard,Debit,09/2024,YES,2,12346,1998-07-01,2006,No
7582781,2010-01-28 12:17:00,771,4986,258.37,Online Transaction,41184,ONLINE,ONLINE,00000,5310,No Error,Discount Stores,1.0,44,69,1975,9,Male,919 Lafayette Drive,42.33,-122.79,18961,38661,88636,765,3,Mastercard,Debit,01/2023,YES,2,17536,2003-10-01,2010,No
7582793,2010-01-28 12:20:00,771,4986,99.97,Swipe Transaction,74780,Port au Prince,Haiti,HTI00,5712,No Error,"Furniture, Home Furnishings, and Equipment Stores",1.0,44,69,1975,9,Male,919 Lafayette Drive,42.33,-122.79,18961,38661,88636,765,3,Mastercard,Debit,01/2023,YES,2,17536,2003-10-01,2010,No
7582824,2010-01-28 12:27:00,1052,3651,147.57,Online Transaction,41184,ONLINE,ONLINE,00000,5310,Insufficient Balance,Discount Stores,1.0,61,61,1958,12,Male,363 Third Drive,37.99,-122.27,25849,28210,22961,655,2,Mastercard,Debit,09/2024,YES,2,12346,1998-07-01,2006,No
7583369,2010-01-28 14:23:00,155,5793,215.54,Online Transaction,9932,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,86,69,1933,11,Female,235 Fourth Street,31.31,-89.3,14383,9678,812,688,6,Mastercard,Debit (Prepaid),11/2023,YES,2,15,2003-12-01,2010,No
7583585,2010-01-28 15:14:00,155,5793,215.25,Online Transaction,88459,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,86,69,1933,11,Female,235 Fourth Street,31.31,-89.3,14383,9678,812,688,6,Mastercard,Debit (Prepaid),11/2023,YES,2,15,2003-12-01,2010,No
7583605,2010-01-28 15:19:00,155,5793,34.32,Online Transaction,9932,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,86,69,1933,11,Female,235 Fourth Street,31.31,-89.3,14383,9678,812,688,6,Mastercard,Debit (Prepaid),11/2023,YES,2,15,2003-12-01,2010,No
7585070,2010-01-29 05:25:00,771,4986,116.94,Online Transaction,75034,ONLINE,ONLINE,00000,5045,No Error,"Computers, Computer Peripheral Equipment",1.0,44,69,1975,9,Male,919 Lafayette Drive,42.33,-122.79,18961,38661,88636,765,3,Mastercard,Debit,01/2023,YES,2,17536,2003-10-01,2010,No
7585515,2010-01-29 08:12:00,155,5793,126.67,Online Transaction,69956,ONLINE,ONLINE,00000,5310,No Error,Discount Stores,1.0,86,69,1933,11,Female,235 Fourth Street,31.31,-89.3,14383,9678,812,688,6,Mastercard,Debit (Prepaid),11/2023,YES,2,15,2003-12-01,2010,No
7585936,2010-01-29 10:12:00,1996,4744,86.83,Online Transaction,48919,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,46,66,1973,6,Female,7853 Grant Street,29.43,-95.24,21956,44768,59862,728,3,Visa,Credit,12/2012,NO,2,9700,2009-09-01,2017,No
7586277,2010-01-29 11:41:00,1996,4744,17.28,Online Transaction,42693,ONLINE,ONLINE,00000,5816,No Error,Digital Goods - Games,1.0,46,66,1973,6,Female,7853 Grant Street,29.43,-95.24,21956,44768,59862,728,3,Visa,Credit,12/2012,NO,2,9700,2009-09-01,2017,No
7590163,2010-01-30 12:37:00,1019,5112,71.95,Online Transaction,59474,ONLINE,ONLINE,00000,3722,Insufficient Balance,Passenger Railways,1.0,81,57,1939,1,Female,482 Grant Street,34.09,-117.96,15775,29928,2028,713,4,Mastercard,Credit,11/2023,YES,1,7300,2008-10-01,2010,No
7590192,2010-01-30 12:44:00,1019,5112,450.0,Online Transaction,59474,ONLINE,ONLINE,00000,3722,No Error,Passenger Railways,1.0,81,57,1939,1,Female,482 Grant Street,34.09,-117.96,15775,29928,2028,713,4,Mastercard,Credit,11/2023,YES,1,7300,2008-10-01,2010,No
7592334,2010-01-31 04:05:00,1052,3651,18.36,Online Transaction,39261,ONLINE,ONLINE,00000,5815,No Error,"Digital Goods - Media, Books, Apps",1.0,61,61,1958,12,Male,363 Third Drive,37.99,-122.27,25849,28210,22961,655,2,Mastercard,Debit,09/2024,YES,2,12346,1998-07-01,2006,No
7592381,2010-01-31 05:32:00,408,2515,117.92,Online Transaction,60569,ONLINE,ONLINE,00000,5300,No Error,Wholesale Clubs,1.0,58,62,1961,4,Female,690 Hill Lane,45.4,-91.84,15371,31343,49537,741,3,Visa,Debit,12/2018,YES,1,22457,2006-04-01,2010,No
7592433,2010-01-31 06:03:00,408,2515,42.55,Online Transaction,67570,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,58,62,1961,4,Female,690 Hill Lane,45.4,-91.84,15371,31343,49537,741,3,Visa,Debit,12/2018,YES,1,22457,2006-04-01,2010,No
